Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2368
Anjou,709
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2207
Côte-Saint-Luc,519
Dollard-des-Ormeaux,420
Dorval,193
Hampstead,55
Kirkland,117
Lachine,636
LaSalle,1225
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2319
Montréal-Est,44
Montréal-Nord,2572
Montréal-Ouest,20
Mont-Royal,283
Outremont,272
Pierrefonds–Roxboro,547
Plateau-Mont-Royal,908
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2176
Rosemont–La Petite Patrie,1593
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1089
Saint-Léonard,1118
Senneville,<5
Sud-Ouest,917
Verdun,962
Ville-Marie,837
Villeray–Saint-Michel–Parc-Extension,2193
Westmount,187
Territoire à confirmer,629
Total à Montréal,27661
