Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,4806
Anjou,1532
Baie-D'Urfé,52
Beaconsfield,204
Côte-des-Neiges–Notre-Dame-de-Grâce,5462
Côte-Saint-Luc,1394
Dollard-des-Ormeaux,1171
Dorval,413
Hampstead,179
Kirkland,329
Lachine,1423
LaSalle,2705
L'Île-Bizard–Sainte-Geneviève,424
Mercier–Hochelaga-Maisonneuve,4383
Montréal-Est,108
Montréal-Nord,4830
Montréal-Ouest,69
Mont-Royal,634
Outremont,681
Pierrefonds–Roxboro,1718
Plateau-Mont-Royal,2238
Pointe-Claire,526
Rivière-des-Prairies–Pointe-aux-Trembles,4344
Rosemont–La Petite Patrie,3736
Sainte-Anne-de-Bellevue,69
Saint-Laurent,3253
Saint-Léonard,3192
Senneville,19
Sud-Ouest,2074
Verdun,1696
Ville-Marie,2369
Villeray–Saint-Michel–Parc-Extension,5153
Westmount,423
Territoire à confirmer,1219
Total à Montréal,62828
