Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1722
Anjou,503
Baie-D'Urfé,15
Beaconsfield,49
Côte-des-Neiges–Notre-Dame-de-Grâce,1684
Côte-Saint-Luc,415
Dollard-des-Ormeaux,323
Dorval,154
Hampstead,48
Kirkland,90
Lachine,447
LaSalle,975
L'Île-Bizard–Sainte-Geneviève,163
Mercier–Hochelaga-Maisonneuve,1696
Montréal-Est,29
Montréal-Nord,1942
Montréal-Ouest,18
Mont-Royal,231
Outremont,225
Pierrefonds–Roxboro,404
Plateau-Mont-Royal,743
Pointe-Claire,156
Rivière-des-Prairies–Pointe-aux-Trembles,1656
Rosemont–La Petite Patrie,1186
Sainte-Anne-de-Bellevue,16
Saint-Laurent,763
Saint-Léonard,837
Senneville,<5
Sud-Ouest,742
Verdun,797
Ville-Marie,569
Villeray–Saint-Michel–Parc-Extension,1500
Westmount,153
Territoire à confirmer,786
Total à Montréal,21038
