Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2295
Anjou,687
Baie-D'Urfé,32
Beaconsfield,59
Côte-des-Neiges–Notre-Dame-de-Grâce,2172
Côte-Saint-Luc,514
Dollard-des-Ormeaux,414
Dorval,186
Hampstead,53
Kirkland,115
Lachine,626
LaSalle,1182
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2253
Montréal-Est,44
Montréal-Nord,2514
Montréal-Ouest,20
Mont-Royal,276
Outremont,266
Pierrefonds–Roxboro,533
Plateau-Mont-Royal,878
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2137
Rosemont–La Petite Patrie,1542
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1058
Saint-Léonard,1091
Senneville,<5
Sud-Ouest,902
Verdun,938
Ville-Marie,772
Villeray–Saint-Michel–Parc-Extension,2115
Westmount,182
Territoire à confirmer,628
Total à Montréal,26937
