Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2499
Anjou,742
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2388
Côte-Saint-Luc,548
Dollard-des-Ormeaux,454
Dorval,204
Hampstead,61
Kirkland,138
Lachine,703
LaSalle,1309
L'Île-Bizard–Sainte-Geneviève,222
Mercier–Hochelaga-Maisonneuve,2495
Montréal-Est,49
Montréal-Nord,2661
Montréal-Ouest,32
Mont-Royal,294
Outremont,282
Pierrefonds–Roxboro,586
Plateau-Mont-Royal,1092
Pointe-Claire,244
Rivière-des-Prairies–Pointe-aux-Trembles,2255
Rosemont–La Petite Patrie,1778
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1176
Saint-Léonard,1207
Senneville,<5
Sud-Ouest,1055
Verdun,1038
Ville-Marie,1084
Villeray–Saint-Michel–Parc-Extension,2375
Westmount,198
Territoire à confirmer,654
Total à Montréal,29936
