Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,7352
Anjou,2395
Baie-D'Urfé,67
Beaconsfield,317
Côte-des-Neiges–Notre-Dame-de-Grâce,8144
Côte-Saint-Luc,1889
Dollard-des-Ormeaux,1856
Dorval,577
Hampstead,285
Kirkland,477
Lachine,2137
LaSalle,3944
L'Île-Bizard–Sainte-Geneviève,784
Mercier–Hochelaga-Maisonneuve,6268
Montréal-Est,196
Montréal-Nord,6895
Montréal-Ouest,118
Mont-Royal,826
Outremont,952
Pierrefonds–Roxboro,2757
Plateau-Mont-Royal,3251
Pointe-Claire,763
Rivière-des-Prairies–Pointe-aux-Trembles,6469
Rosemont–La Petite Patrie,5272
Sainte-Anne-de-Bellevue,101
Saint-Laurent,5046
Saint-Léonard,5306
Senneville,21
Sud-Ouest,2889
Verdun,2272
Ville-Marie,3537
Villeray–Saint-Michel–Parc-Extension,7681
Westmount,561
Territoire à confirmer,1505
Total à Montréal,92910
