Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9554
Anjou,3261
Baie-D'Urfé,80
Beaconsfield,413
Côte-des-Neiges–Notre-Dame-de-Grâce,10924
Côte-Saint-Luc,2593
Dollard-des-Ormeaux,2486
Dorval,745
Hampstead,363
Kirkland,647
Lachine,2773
LaSalle,4987
L'Île-Bizard–Sainte-Geneviève,974
Mercier–Hochelaga-Maisonneuve,8071
Montréal-Est,256
Montréal-Nord,8429
Montréal-Ouest,163
Mont-Royal,1057
Outremont,1184
Pierrefonds–Roxboro,3763
Plateau-Mont-Royal,4157
Pointe-Claire,970
Rivière-des-Prairies–Pointe-aux-Trembles,8387
Rosemont–La Petite Patrie,6529
Sainte-Anne-de-Bellevue,128
Saint-Laurent,7320
Saint-Léonard,7196
Senneville,22
Sud-Ouest,3487
Verdun,2958
Ville-Marie,4315
Villeray–Saint-Michel–Parc-Extension,10019
Westmount,675
Territoire à confirmer,1803
Total à Montréal,120689
