Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1585
Anjou,436
Baie-D'Urfé,11
Beaconsfield,45
Côte-des-Neiges–Notre-Dame-de-Grâce,1559
Côte-Saint-Luc,400
Dollard-des-Ormeaux,282
Dorval,145
Hampstead,48
Kirkland,82
Lachine,407
LaSalle,927
L'Île-Bizard–Sainte-Geneviève,136
Mercier–Hochelaga-Maisonneuve,1463
Montréal-Est,26
Montréal-Nord,1762
Montréal-Ouest,16
Mont-Royal,222
Outremont,221
Pierrefonds–Roxboro,357
Plateau-Mont-Royal,685
Pointe-Claire,143
Rivière-des-Prairies–Pointe-aux-Trembles,1443
Rosemont–La Petite Patrie,1075
Sainte-Anne-de-Bellevue,15
Saint-Laurent,678
Saint-Léonard,743
Senneville,<5
Sud-Ouest,717
Verdun,762
Ville-Marie,523
Villeray–Saint-Michel–Parc-Extension,1364
Westmount,143
Territoire à confirmer,775
Total à Montréal,19197
