Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3295
Anjou,1033
Baie-D'Urfé,37
Beaconsfield,119
Côte-des-Neiges–Notre-Dame-de-Grâce,3698
Côte-Saint-Luc,971
Dollard-des-Ormeaux,744
Dorval,314
Hampstead,120
Kirkland,207
Lachine,913
LaSalle,1771
L'Île-Bizard–Sainte-Geneviève,286
Mercier–Hochelaga-Maisonneuve,3338
Montréal-Est,65
Montréal-Nord,3510
Montréal-Ouest,46
Mont-Royal,468
Outremont,565
Pierrefonds–Roxboro,954
Plateau-Mont-Royal,1683
Pointe-Claire,294
Rivière-des-Prairies–Pointe-aux-Trembles,2988
Rosemont–La Petite Patrie,2584
Sainte-Anne-de-Bellevue,24
Saint-Laurent,1966
Saint-Léonard,1849
Senneville,7
Sud-Ouest,1502
Verdun,1317
Ville-Marie,1835
Villeray–Saint-Michel–Parc-Extension,3546
Westmount,275
Territoire à confirmer,965
Total à Montréal,43289
