Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8988
Anjou,3092
Baie-D'Urfé,68
Beaconsfield,386
Côte-des-Neiges–Notre-Dame-de-Grâce,10301
Côte-Saint-Luc,2439
Dollard-des-Ormeaux,2322
Dorval,685
Hampstead,353
Kirkland,589
Lachine,2598
LaSalle,4710
L'Île-Bizard–Sainte-Geneviève,888
Mercier–Hochelaga-Maisonneuve,7678
Montréal-Est,238
Montréal-Nord,8207
Montréal-Ouest,142
Mont-Royal,991
Outremont,1140
Pierrefonds–Roxboro,3520
Plateau-Mont-Royal,3939
Pointe-Claire,917
Rivière-des-Prairies–Pointe-aux-Trembles,7997
Rosemont–La Petite Patrie,6208
Sainte-Anne-de-Bellevue,122
Saint-Laurent,6767
Saint-Léonard,6824
Senneville,22
Sud-Ouest,3312
Verdun,2797
Ville-Marie,4116
Villeray–Saint-Michel–Parc-Extension,9495
Westmount,645
Territoire à confirmer,1742
Total à Montréal,114238
