Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,6539
Anjou,2088
Baie-D'Urfé,61
Beaconsfield,279
Côte-des-Neiges–Notre-Dame-de-Grâce,7315
Côte-Saint-Luc,1775
Dollard-des-Ormeaux,1665
Dorval,521
Hampstead,250
Kirkland,450
Lachine,1977
LaSalle,3611
L'Île-Bizard–Sainte-Geneviève,679
Mercier–Hochelaga-Maisonneuve,5721
Montréal-Est,170
Montréal-Nord,6216
Montréal-Ouest,103
Mont-Royal,786
Outremont,909
Pierrefonds–Roxboro,2482
Plateau-Mont-Royal,2972
Pointe-Claire,715
Rivière-des-Prairies–Pointe-aux-Trembles,5792
Rosemont–La Petite Patrie,4873
Sainte-Anne-de-Bellevue,92
Saint-Laurent,4493
Saint-Léonard,4719
Senneville,20
Sud-Ouest,2665
Verdun,2089
Ville-Marie,3149
Villeray–Saint-Michel–Parc-Extension,6900
Westmount,507
Territoire à confirmer,1438
Total à Montréal,84021
