Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8905
Anjou,3067
Baie-D'Urfé,67
Beaconsfield,382
Côte-des-Neiges–Notre-Dame-de-Grâce,10176
Côte-Saint-Luc,2405
Dollard-des-Ormeaux,2285
Dorval,679
Hampstead,343
Kirkland,575
Lachine,2571
LaSalle,4659
L'Île-Bizard–Sainte-Geneviève,880
Mercier–Hochelaga-Maisonneuve,7587
Montréal-Est,236
Montréal-Nord,8150
Montréal-Ouest,135
Mont-Royal,984
Outremont,1135
Pierrefonds–Roxboro,3486
Plateau-Mont-Royal,3907
Pointe-Claire,899
Rivière-des-Prairies–Pointe-aux-Trembles,7944
Rosemont–La Petite Patrie,6147
Sainte-Anne-de-Bellevue,121
Saint-Laurent,6663
Saint-Léonard,6759
Senneville,22
Sud-Ouest,3288
Verdun,2751
Ville-Marie,4066
Villeray–Saint-Michel–Parc-Extension,9396
Westmount,631
Territoire à confirmer,1726
Total à Montréal,113027
