Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9691
Anjou,3301
Baie-D'Urfé,82
Beaconsfield,424
Côte-des-Neiges–Notre-Dame-de-Grâce,11139
Côte-Saint-Luc,2620
Dollard-des-Ormeaux,2539
Dorval,762
Hampstead,366
Kirkland,663
Lachine,2811
LaSalle,5096
L'Île-Bizard–Sainte-Geneviève,998
Mercier–Hochelaga-Maisonneuve,8235
Montréal-Est,259
Montréal-Nord,8492
Montréal-Ouest,166
Mont-Royal,1076
Outremont,1199
Pierrefonds–Roxboro,3846
Plateau-Mont-Royal,4228
Pointe-Claire,985
Rivière-des-Prairies–Pointe-aux-Trembles,8500
Rosemont–La Petite Patrie,6640
Sainte-Anne-de-Bellevue,131
Saint-Laurent,7474
Saint-Léonard,7304
Senneville,22
Sud-Ouest,3551
Verdun,2987
Ville-Marie,4386
Villeray–Saint-Michel–Parc-Extension,10169
Westmount,684
Territoire à confirmer,1830
Total à Montréal,122656
