Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9176
Anjou,3135
Baie-D'Urfé,74
Beaconsfield,397
Côte-des-Neiges–Notre-Dame-de-Grâce,10506
Côte-Saint-Luc,2471
Dollard-des-Ormeaux,2358
Dorval,699
Hampstead,355
Kirkland,608
Lachine,2629
LaSalle,4804
L'Île-Bizard–Sainte-Geneviève,904
Mercier–Hochelaga-Maisonneuve,7815
Montréal-Est,241
Montréal-Nord,8291
Montréal-Ouest,148
Mont-Royal,1008
Outremont,1159
Pierrefonds–Roxboro,3586
Plateau-Mont-Royal,3990
Pointe-Claire,931
Rivière-des-Prairies–Pointe-aux-Trembles,8103
Rosemont–La Petite Patrie,6312
Sainte-Anne-de-Bellevue,122
Saint-Laurent,6939
Saint-Léonard,6959
Senneville,22
Sud-Ouest,3359
Verdun,2846
Ville-Marie,4166
Villeray–Saint-Michel–Parc-Extension,9667
Westmount,660
Territoire à confirmer,1760
Total à Montréal,116200
