Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2235
Anjou,675
Baie-D'Urfé,29
Beaconsfield,58
Côte-des-Neiges–Notre-Dame-de-Grâce,2139
Côte-Saint-Luc,504
Dollard-des-Ormeaux,408
Dorval,180
Hampstead,53
Kirkland,110
Lachine,593
LaSalle,1141
L'Île-Bizard–Sainte-Geneviève,203
Mercier–Hochelaga-Maisonneuve,2209
Montréal-Est,44
Montréal-Nord,2456
Montréal-Ouest,20
Mont-Royal,271
Outremont,257
Pierrefonds–Roxboro,525
Plateau-Mont-Royal,866
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2090
Rosemont–La Petite Patrie,1501
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1041
Saint-Léonard,1079
Senneville,<5
Sud-Ouest,888
Verdun,926
Ville-Marie,753
Villeray–Saint-Michel–Parc-Extension,2045
Westmount,183
Territoire à confirmer,627
Total à Montréal,26351
