Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2121
Anjou,626
Baie-D'Urfé,28
Beaconsfield,57
Côte-des-Neiges–Notre-Dame-de-Grâce,2013
Côte-Saint-Luc,489
Dollard-des-Ormeaux,393
Dorval,174
Hampstead,52
Kirkland,101
Lachine,546
LaSalle,1083
L'Île-Bizard–Sainte-Geneviève,185
Mercier–Hochelaga-Maisonneuve,2103
Montréal-Est,37
Montréal-Nord,2340
Montréal-Ouest,18
Mont-Royal,249
Outremont,248
Pierrefonds–Roxboro,504
Plateau-Mont-Royal,830
Pointe-Claire,208
Rivière-des-Prairies–Pointe-aux-Trembles,1990
Rosemont–La Petite Patrie,1440
Sainte-Anne-de-Bellevue,17
Saint-Laurent,983
Saint-Léonard,1030
Senneville,<5
Sud-Ouest,852
Verdun,890
Ville-Marie,716
Villeray–Saint-Michel–Parc-Extension,1882
Westmount,169
Territoire à confirmer,852
Total à Montréal,25227
