Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2397
Anjou,718
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2258
Côte-Saint-Luc,524
Dollard-des-Ormeaux,430
Dorval,200
Hampstead,56
Kirkland,121
Lachine,675
LaSalle,1252
L'Île-Bizard–Sainte-Geneviève,215
Mercier–Hochelaga-Maisonneuve,2395
Montréal-Est,44
Montréal-Nord,2597
Montréal-Ouest,23
Mont-Royal,285
Outremont,274
Pierrefonds–Roxboro,557
Plateau-Mont-Royal,1001
Pointe-Claire,226
Rivière-des-Prairies–Pointe-aux-Trembles,2209
Rosemont–La Petite Patrie,1667
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1105
Saint-Léonard,1147
Senneville,<5
Sud-Ouest,979
Verdun,987
Ville-Marie,976
Villeray–Saint-Michel–Parc-Extension,2255
Westmount,193
Territoire à confirmer,641
Total à Montréal,28520
