Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8971
Anjou,3087
Baie-D'Urfé,68
Beaconsfield,385
Côte-des-Neiges–Notre-Dame-de-Grâce,10271
Côte-Saint-Luc,2430
Dollard-des-Ormeaux,2302
Dorval,684
Hampstead,349
Kirkland,587
Lachine,2591
LaSalle,4693
L'Île-Bizard–Sainte-Geneviève,887
Mercier–Hochelaga-Maisonneuve,7659
Montréal-Est,237
Montréal-Nord,8188
Montréal-Ouest,139
Mont-Royal,987
Outremont,1138
Pierrefonds–Roxboro,3508
Plateau-Mont-Royal,3931
Pointe-Claire,913
Rivière-des-Prairies–Pointe-aux-Trembles,7992
Rosemont–La Petite Patrie,6193
Sainte-Anne-de-Bellevue,122
Saint-Laurent,6742
Saint-Léonard,6808
Senneville,22
Sud-Ouest,3304
Verdun,2791
Ville-Marie,4105
Villeray–Saint-Michel–Parc-Extension,9463
Westmount,643
Territoire à confirmer,1735
Total à Montréal,113925
