Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,535
Anjou,120
Baie-D'Urfé,5
Beaconsfield,15
Côte-des-Neiges–Notre-Dame-de-Grâce,775
Côte-Saint-Luc,292
Dollard-des-Ormeaux,89
Dorval,47
Hampstead,29
Kirkland,21
Lachine,102
LaSalle,372
L'Île-Bizard–Sainte-Geneviève,33
Mercier–Hochelaga-Maisonneuve,430
Montréal-Est,8
Montréal-Nord,490
Montréal-Ouest,5
Mont-Royal,57
Outremont,157
Pierrefonds–Roxboro,104
Plateau-Mont-Royal,345
Pointe-Claire,39
Rivière-des-Prairies–Pointe-aux-Trembles,395
Rosemont–La Petite Patrie,379
Sainte-Anne-de-Bellevue,5
Saint-Laurent,237
Saint-Léonard,258
Senneville,<5
Sud-Ouest,322
Verdun,326
Ville-Marie,249
Villeray–Saint-Michel–Parc-Extension,467
Westmount,67
Territoire à confirmer,983
Total à Montréal,7760
