Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8112
Anjou,2704
Baie-D'Urfé,67
Beaconsfield,345
Côte-des-Neiges–Notre-Dame-de-Grâce,8942
Côte-Saint-Luc,2021
Dollard-des-Ormeaux,2044
Dorval,633
Hampstead,307
Kirkland,511
Lachine,2383
LaSalle,4242
L'Île-Bizard–Sainte-Geneviève,823
Mercier–Hochelaga-Maisonneuve,6919
Montréal-Est,212
Montréal-Nord,7462
Montréal-Ouest,121
Mont-Royal,899
Outremont,1014
Pierrefonds–Roxboro,3028
Plateau-Mont-Royal,3553
Pointe-Claire,805
Rivière-des-Prairies–Pointe-aux-Trembles,7226
Rosemont–La Petite Patrie,5680
Sainte-Anne-de-Bellevue,108
Saint-Laurent,5721
Saint-Léonard,6070
Senneville,21
Sud-Ouest,3084
Verdun,2470
Ville-Marie,3792
Villeray–Saint-Michel–Parc-Extension,8533
Westmount,596
Territoire à confirmer,1655
Total à Montréal,102103
