Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,7413
Anjou,2407
Baie-D'Urfé,67
Beaconsfield,316
Côte-des-Neiges–Notre-Dame-de-Grâce,8196
Côte-Saint-Luc,1887
Dollard-des-Ormeaux,1868
Dorval,578
Hampstead,286
Kirkland,477
Lachine,2136
LaSalle,3957
L'Île-Bizard–Sainte-Geneviève,787
Mercier–Hochelaga-Maisonneuve,6313
Montréal-Est,197
Montréal-Nord,6925
Montréal-Ouest,118
Mont-Royal,831
Outremont,956
Pierrefonds–Roxboro,2773
Plateau-Mont-Royal,3264
Pointe-Claire,763
Rivière-des-Prairies–Pointe-aux-Trembles,6526
Rosemont–La Petite Patrie,5292
Sainte-Anne-de-Bellevue,101
Saint-Laurent,5078
Saint-Léonard,5354
Senneville,21
Sud-Ouest,2893
Verdun,2279
Ville-Marie,3543
Villeray–Saint-Michel–Parc-Extension,7718
Westmount,564
Territoire à confirmer,1563
Total à Montréal,93447
