Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2352
Anjou,705
Baie-D'Urfé,31
Beaconsfield,61
Côte-des-Neiges–Notre-Dame-de-Grâce,2187
Côte-Saint-Luc,519
Dollard-des-Ormeaux,419
Dorval,192
Hampstead,53
Kirkland,116
Lachine,631
LaSalle,1203
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2294
Montréal-Est,44
Montréal-Nord,2564
Montréal-Ouest,20
Mont-Royal,282
Outremont,271
Pierrefonds–Roxboro,542
Plateau-Mont-Royal,895
Pointe-Claire,221
Rivière-des-Prairies–Pointe-aux-Trembles,2167
Rosemont–La Petite Patrie,1565
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1083
Saint-Léonard,1108
Senneville,<5
Sud-Ouest,908
Verdun,955
Ville-Marie,816
Villeray–Saint-Michel–Parc-Extension,2177
Westmount,185
Territoire à confirmer,628
Total à Montréal,27425
