Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2473
Anjou,734
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2353
Côte-Saint-Luc,543
Dollard-des-Ormeaux,447
Dorval,206
Hampstead,59
Kirkland,124
Lachine,698
LaSalle,1292
L'Île-Bizard–Sainte-Geneviève,223
Mercier–Hochelaga-Maisonneuve,2474
Montréal-Est,48
Montréal-Nord,2649
Montréal-Ouest,29
Mont-Royal,284
Outremont,279
Pierrefonds–Roxboro,582
Plateau-Mont-Royal,1069
Pointe-Claire,241
Rivière-des-Prairies–Pointe-aux-Trembles,2236
Rosemont–La Petite Patrie,1757
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1156
Saint-Léonard,1183
Senneville,<5
Sud-Ouest,1035
Verdun,1019
Ville-Marie,1053
Villeray–Saint-Michel–Parc-Extension,2349
Westmount,197
Territoire à confirmer,642
Total à Montréal,29547
