Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8054
Anjou,2688
Baie-D'Urfé,67
Beaconsfield,341
Côte-des-Neiges–Notre-Dame-de-Grâce,8883
Côte-Saint-Luc,2007
Dollard-des-Ormeaux,2034
Dorval,626
Hampstead,307
Kirkland,506
Lachine,2359
LaSalle,4206
L'Île-Bizard–Sainte-Geneviève,814
Mercier–Hochelaga-Maisonneuve,6873
Montréal-Est,211
Montréal-Nord,7410
Montréal-Ouest,121
Mont-Royal,894
Outremont,1010
Pierrefonds–Roxboro,3013
Plateau-Mont-Royal,3524
Pointe-Claire,802
Rivière-des-Prairies–Pointe-aux-Trembles,7163
Rosemont–La Petite Patrie,5664
Sainte-Anne-de-Bellevue,108
Saint-Laurent,5668
Saint-Léonard,6009
Senneville,21
Sud-Ouest,3067
Verdun,2446
Ville-Marie,3781
Villeray–Saint-Michel–Parc-Extension,8476
Westmount,591
Territoire à confirmer,1649
Total à Montréal,101393
