Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,6338
Anjou,2048
Baie-D'Urfé,61
Beaconsfield,275
Côte-des-Neiges–Notre-Dame-de-Grâce,7129
Côte-Saint-Luc,1733
Dollard-des-Ormeaux,1607
Dorval,516
Hampstead,242
Kirkland,448
Lachine,1948
LaSalle,3488
L'Île-Bizard–Sainte-Geneviève,665
Mercier–Hochelaga-Maisonneuve,5580
Montréal-Est,160
Montréal-Nord,6066
Montréal-Ouest,99
Mont-Royal,770
Outremont,900
Pierrefonds–Roxboro,2418
Plateau-Mont-Royal,2900
Pointe-Claire,699
Rivière-des-Prairies–Pointe-aux-Trembles,5652
Rosemont–La Petite Patrie,4746
Sainte-Anne-de-Bellevue,92
Saint-Laurent,4380
Saint-Léonard,4554
Senneville,20
Sud-Ouest,2596
Verdun,2054
Ville-Marie,3066
Villeray–Saint-Michel–Parc-Extension,6744
Westmount,495
Territoire à confirmer,1397
Total à Montréal,81886
