Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1975
Anjou,589
Baie-D'Urfé,23
Beaconsfield,55
Côte-des-Neiges–Notre-Dame-de-Grâce,1901
Côte-Saint-Luc,478
Dollard-des-Ormeaux,369
Dorval,164
Hampstead,52
Kirkland,96
Lachine,515
LaSalle,1036
L'Île-Bizard–Sainte-Geneviève,179
Mercier–Hochelaga-Maisonneuve,1991
Montréal-Est,35
Montréal-Nord,2227
Montréal-Ouest,18
Mont-Royal,243
Outremont,242
Pierrefonds–Roxboro,478
Plateau-Mont-Royal,805
Pointe-Claire,184
Rivière-des-Prairies–Pointe-aux-Trembles,1902
Rosemont–La Petite Patrie,1356
Sainte-Anne-de-Bellevue,19
Saint-Laurent,916
Saint-Léonard,971
Senneville,<5
Sud-Ouest,813
Verdun,864
Ville-Marie,670
Villeray–Saint-Michel–Parc-Extension,1741
Westmount,165
Territoire à confirmer,845
Total à Montréal,23918
