Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2344
Anjou,699
Baie-D'Urfé,31
Beaconsfield,60
Côte-des-Neiges–Notre-Dame-de-Grâce,2185
Côte-Saint-Luc,518
Dollard-des-Ormeaux,417
Dorval,192
Hampstead,53
Kirkland,116
Lachine,625
LaSalle,1198
L'Île-Bizard–Sainte-Geneviève,212
Mercier–Hochelaga-Maisonneuve,2276
Montréal-Est,44
Montréal-Nord,2552
Montréal-Ouest,20
Mont-Royal,279
Outremont,270
Pierrefonds–Roxboro,535
Plateau-Mont-Royal,888
Pointe-Claire,220
Rivière-des-Prairies–Pointe-aux-Trembles,2157
Rosemont–La Petite Patrie,1557
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1076
Saint-Léonard,1104
Senneville,<5
Sud-Ouest,908
Verdun,951
Ville-Marie,810
Villeray–Saint-Michel–Parc-Extension,2164
Westmount,183
Territoire à confirmer,635
Total à Montréal,27299
