Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1351
Anjou,363
Baie-D'Urfé,9
Beaconsfield,42
Côte-des-Neiges–Notre-Dame-de-Grâce,1427
Côte-Saint-Luc,386
Dollard-des-Ormeaux,268
Dorval,136
Hampstead,41
Kirkland,72
Lachine,343
LaSalle,852
L'Île-Bizard–Sainte-Geneviève,115
Mercier–Hochelaga-Maisonneuve,1226
Montréal-Est,23
Montréal-Nord,1501
Montréal-Ouest,14
Mont-Royal,192
Outremont,211
Pierrefonds–Roxboro,297
Plateau-Mont-Royal,621
Pointe-Claire,129
Rivière-des-Prairies–Pointe-aux-Trembles,1201
Rosemont–La Petite Patrie,931
Sainte-Anne-de-Bellevue,15
Saint-Laurent,607
Saint-Léonard,658
Senneville,<5
Sud-Ouest,684
Verdun,706
Ville-Marie,439
Villeray–Saint-Michel–Parc-Extension,1212
Westmount,135
Territoire à confirmer,783
Total à Montréal,16991
