Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1755
Anjou,516
Baie-D'Urfé,15
Beaconsfield,50
Côte-des-Neiges–Notre-Dame-de-Grâce,1715
Côte-Saint-Luc,419
Dollard-des-Ormeaux,326
Dorval,160
Hampstead,48
Kirkland,92
Lachine,453
LaSalle,985
L'Île-Bizard–Sainte-Geneviève,166
Mercier–Hochelaga-Maisonneuve,1737
Montréal-Est,30
Montréal-Nord,1979
Montréal-Ouest,17
Mont-Royal,231
Outremont,233
Pierrefonds–Roxboro,422
Plateau-Mont-Royal,750
Pointe-Claire,159
Rivière-des-Prairies–Pointe-aux-Trembles,1690
Rosemont–La Petite Patrie,1204
Sainte-Anne-de-Bellevue,16
Saint-Laurent,781
Saint-Léonard,853
Senneville,<5
Sud-Ouest,748
Verdun,807
Ville-Marie,578
Villeray–Saint-Michel–Parc-Extension,1520
Westmount,156
Territoire à confirmer,798
Total à Montréal,21410
