Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3247
Anjou,1009
Baie-D'Urfé,37
Beaconsfield,108
Côte-des-Neiges–Notre-Dame-de-Grâce,3563
Côte-Saint-Luc,916
Dollard-des-Ormeaux,719
Dorval,309
Hampstead,117
Kirkland,202
Lachine,870
LaSalle,1682
L'Île-Bizard–Sainte-Geneviève,281
Mercier–Hochelaga-Maisonneuve,3278
Montréal-Est,66
Montréal-Nord,3466
Montréal-Ouest,43
Mont-Royal,462
Outremont,560
Pierrefonds–Roxboro,911
Plateau-Mont-Royal,1666
Pointe-Claire,285
Rivière-des-Prairies–Pointe-aux-Trembles,2935
Rosemont–La Petite Patrie,2509
Sainte-Anne-de-Bellevue,24
Saint-Laurent,1893
Saint-Léonard,1799
Senneville,7
Sud-Ouest,1476
Verdun,1301
Ville-Marie,1790
Villeray–Saint-Michel–Parc-Extension,3430
Westmount,271
Territoire à confirmer,939
Total à Montréal,42171
