Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,4923
Anjou,1573
Baie-D'Urfé,55
Beaconsfield,213
Côte-des-Neiges–Notre-Dame-de-Grâce,5619
Côte-Saint-Luc,1430
Dollard-des-Ormeaux,1209
Dorval,424
Hampstead,183
Kirkland,339
Lachine,1455
LaSalle,2766
L'Île-Bizard–Sainte-Geneviève,443
Mercier–Hochelaga-Maisonneuve,4481
Montréal-Est,117
Montréal-Nord,4929
Montréal-Ouest,71
Mont-Royal,646
Outremont,712
Pierrefonds–Roxboro,1796
Plateau-Mont-Royal,2313
Pointe-Claire,536
Rivière-des-Prairies–Pointe-aux-Trembles,4475
Rosemont–La Petite Patrie,3821
Sainte-Anne-de-Bellevue,72
Saint-Laurent,3355
Saint-Léonard,3302
Senneville,18
Sud-Ouest,2127
Verdun,1721
Ville-Marie,2421
Villeray–Saint-Michel–Parc-Extension,5308
Westmount,428
Territoire à confirmer,1239
Total à Montréal,64520
