Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9742
Anjou,3316
Baie-D'Urfé,82
Beaconsfield,426
Côte-des-Neiges–Notre-Dame-de-Grâce,11191
Côte-Saint-Luc,2638
Dollard-des-Ormeaux,2571
Dorval,768
Hampstead,367
Kirkland,668
Lachine,2825
LaSalle,5164
L'Île-Bizard–Sainte-Geneviève,1006
Mercier–Hochelaga-Maisonneuve,8295
Montréal-Est,261
Montréal-Nord,8519
Montréal-Ouest,166
Mont-Royal,1082
Outremont,1210
Pierrefonds–Roxboro,3881
Plateau-Mont-Royal,4269
Pointe-Claire,988
Rivière-des-Prairies–Pointe-aux-Trembles,8534
Rosemont–La Petite Patrie,6679
Sainte-Anne-de-Bellevue,131
Saint-Laurent,7566
Saint-Léonard,7356
Senneville,22
Sud-Ouest,3575
Verdun,3000
Ville-Marie,4418
Villeray–Saint-Michel–Parc-Extension,10233
Westmount,689
Territoire à confirmer,1829
Total à Montréal,123467
