Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3030
Anjou,944
Baie-D'Urfé,35
Beaconsfield,95
Côte-des-Neiges–Notre-Dame-de-Grâce,3192
Côte-Saint-Luc,796
Dollard-des-Ormeaux,624
Dorval,241
Hampstead,116
Kirkland,176
Lachine,817
LaSalle,1523
L'Île-Bizard–Sainte-Geneviève,267
Mercier–Hochelaga-Maisonneuve,3032
Montréal-Est,62
Montréal-Nord,3229
Montréal-Ouest,43
Mont-Royal,355
Outremont,539
Pierrefonds–Roxboro,800
Plateau-Mont-Royal,1607
Pointe-Claire,285
Rivière-des-Prairies–Pointe-aux-Trembles,2760
Rosemont–La Petite Patrie,2267
Sainte-Anne-de-Bellevue,26
Saint-Laurent,1679
Saint-Léonard,1645
Senneville,<5
Sud-Ouest,1380
Verdun,1215
Ville-Marie,1644
Villeray–Saint-Michel–Parc-Extension,3113
Westmount,250
Territoire à confirmer,887
Total à Montréal,38677
