Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2568
Anjou,765
Baie-D'Urfé,31
Beaconsfield,70
Côte-des-Neiges–Notre-Dame-de-Grâce,2455
Côte-Saint-Luc,570
Dollard-des-Ormeaux,489
Dorval,207
Hampstead,68
Kirkland,140
Lachine,722
LaSalle,1330
L'Île-Bizard–Sainte-Geneviève,226
Mercier–Hochelaga-Maisonneuve,2567
Montréal-Est,49
Montréal-Nord,2728
Montréal-Ouest,33
Mont-Royal,298
Outremont,320
Pierrefonds–Roxboro,601
Plateau-Mont-Royal,1146
Pointe-Claire,245
Rivière-des-Prairies–Pointe-aux-Trembles,2322
Rosemont–La Petite Patrie,1850
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1230
Saint-Léonard,1271
Senneville,<5
Sud-Ouest,1104
Verdun,1065
Ville-Marie,1173
Villeray–Saint-Michel–Parc-Extension,2463
Westmount,208
Territoire à confirmer,685
Total à Montréal,31021
