Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3231
Anjou,1002
Baie-D'Urfé,37
Beaconsfield,107
Côte-des-Neiges–Notre-Dame-de-Grâce,3539
Côte-Saint-Luc,905
Dollard-des-Ormeaux,712
Dorval,309
Hampstead,117
Kirkland,202
Lachine,864
LaSalle,1675
L'Île-Bizard–Sainte-Geneviève,280
Mercier–Hochelaga-Maisonneuve,3268
Montréal-Est,65
Montréal-Nord,3447
Montréal-Ouest,43
Mont-Royal,458
Outremont,559
Pierrefonds–Roxboro,906
Plateau-Mont-Royal,1661
Pointe-Claire,282
Rivière-des-Prairies–Pointe-aux-Trembles,2911
Rosemont–La Petite Patrie,2482
Sainte-Anne-de-Bellevue,25
Saint-Laurent,1880
Saint-Léonard,1781
Senneville,7
Sud-Ouest,1464
Verdun,1300
Ville-Marie,1772
Villeray–Saint-Michel–Parc-Extension,3399
Westmount,272
Territoire à confirmer,932
Total à Montréal,41894
