Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3423
Anjou,1077
Baie-D'Urfé,41
Beaconsfield,125
Côte-des-Neiges–Notre-Dame-de-Grâce,3840
Côte-Saint-Luc,1036
Dollard-des-Ormeaux,806
Dorval,322
Hampstead,123
Kirkland,223
Lachine,983
LaSalle,1908
L'Île-Bizard–Sainte-Geneviève,289
Mercier–Hochelaga-Maisonneuve,3481
Montréal-Est,72
Montréal-Nord,3632
Montréal-Ouest,49
Mont-Royal,490
Outremont,582
Pierrefonds–Roxboro,1001
Plateau-Mont-Royal,1736
Pointe-Claire,307
Rivière-des-Prairies–Pointe-aux-Trembles,3113
Rosemont–La Petite Patrie,2718
Sainte-Anne-de-Bellevue,26
Saint-Laurent,2104
Saint-Léonard,1949
Senneville,8
Sud-Ouest,1570
Verdun,1362
Ville-Marie,1890
Villeray–Saint-Michel–Parc-Extension,3719
Westmount,285
Territoire à confirmer,997
Total à Montréal,45287
