Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,6022
Anjou,1964
Baie-D'Urfé,60
Beaconsfield,253
Côte-des-Neiges–Notre-Dame-de-Grâce,6861
Côte-Saint-Luc,1701
Dollard-des-Ormeaux,1541
Dorval,509
Hampstead,223
Kirkland,428
Lachine,1726
LaSalle,3351
L'Île-Bizard–Sainte-Geneviève,649
Mercier–Hochelaga-Maisonneuve,5368
Montréal-Est,154
Montréal-Nord,5834
Montréal-Ouest,92
Mont-Royal,753
Outremont,882
Pierrefonds–Roxboro,2314
Plateau-Mont-Royal,2763
Pointe-Claire,683
Rivière-des-Prairies–Pointe-aux-Trembles,5372
Rosemont–La Petite Patrie,4560
Sainte-Anne-de-Bellevue,87
Saint-Laurent,4178
Saint-Léonard,4310
Senneville,20
Sud-Ouest,2496
Verdun,1992
Ville-Marie,2962
Villeray–Saint-Michel–Parc-Extension,6444
Westmount,486
Territoire à confirmer,1496
Total à Montréal,78534
