Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,14
Anjou,5
Baie-D'Urfé,0
Beaconsfield,0
Côte-des-Neiges–Notre-Dame-de-Grâce,26
Côte-Saint-Luc,9
Dollard-des-Ormeaux,7
Dorval,0
Hampstead,<5
Kirkland,<5
Lachine,6
LaSalle,14
L'Île-Bizard–Sainte-Geneviève,<5
Mercier–Hochelaga-Maisonneuve,15
Montréal-Est,<5
Montréal-Nord,23
Montréal-Ouest,-1
Mont-Royal,0
Outremont,0
Pierrefonds–Roxboro,12
Plateau-Mont-Royal,21
Pointe-Claire,<5
Rivière-des-Prairies–Pointe-aux-Trembles,18
Rosemont–La Petite Patrie,18
Sainte-Anne-de-Bellevue,0
Saint-Laurent,26
Saint-Léonard,19
Senneville,0
Sud-Ouest,12
Verdun,7
Ville-Marie,40
Villeray–Saint-Michel–Parc-Extension,28
Westmount,<5
Territoire à confirmer3,11
Total à Montréal,345
