Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2654
Anjou,795
Baie-D'Urfé,31
Beaconsfield,72
Côte-des-Neiges–Notre-Dame-de-Grâce,2564
Côte-Saint-Luc,603
Dollard-des-Ormeaux,503
Dorval,208
Hampstead,72
Kirkland,147
Lachine,730
LaSalle,1365
L'Île-Bizard–Sainte-Geneviève,234
Mercier–Hochelaga-Maisonneuve,2634
Montréal-Est,50
Montréal-Nord,2808
Montréal-Ouest,34
Mont-Royal,306
Outremont,377
Pierrefonds–Roxboro,620
Plateau-Mont-Royal,1270
Pointe-Claire,248
Rivière-des-Prairies–Pointe-aux-Trembles,2393
Rosemont–La Petite Patrie,1917
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1294
Saint-Léonard,1343
Senneville,<5
Sud-Ouest,1140
Verdun,1075
Ville-Marie,1259
Villeray–Saint-Michel–Parc-Extension,2589
Westmount,218
Territoire à confirmer,717
Total à Montréal,32292
