Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2273
Anjou,680
Baie-D'Urfé,30
Beaconsfield,59
Côte-des-Neiges–Notre-Dame-de-Grâce,2157
Côte-Saint-Luc,513
Dollard-des-Ormeaux,413
Dorval,182
Hampstead,53
Kirkland,112
Lachine,610
LaSalle,1164
L'Île-Bizard–Sainte-Geneviève,208
Mercier–Hochelaga-Maisonneuve,2234
Montréal-Est,44
Montréal-Nord,2494
Montréal-Ouest,20
Mont-Royal,273
Outremont,263
Pierrefonds–Roxboro,531
Plateau-Mont-Royal,872
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2110
Rosemont–La Petite Patrie,1525
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1051
Saint-Léonard,1087
Senneville,<5
Sud-Ouest,893
Verdun,935
Ville-Marie,767
Villeray–Saint-Michel–Parc-Extension,2077
Westmount,182
Territoire à confirmer,634
Total à Montréal,26688
