Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2481
Anjou,733
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2364
Côte-Saint-Luc,543
Dollard-des-Ormeaux,448
Dorval,205
Hampstead,59
Kirkland,133
Lachine,701
LaSalle,1295
L'Île-Bizard–Sainte-Geneviève,224
Mercier–Hochelaga-Maisonneuve,2480
Montréal-Est,48
Montréal-Nord,2649
Montréal-Ouest,30
Mont-Royal,289
Outremont,279
Pierrefonds–Roxboro,583
Plateau-Mont-Royal,1074
Pointe-Claire,242
Rivière-des-Prairies–Pointe-aux-Trembles,2243
Rosemont–La Petite Patrie,1760
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1159
Saint-Léonard,1186
Senneville,<5
Sud-Ouest,1041
Verdun,1025
Ville-Marie,1057
Villeray–Saint-Michel–Parc-Extension,2356
Westmount,197
Territoire à confirmer,641
Total à Montréal,29638
