Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2281
Anjou,680
Baie-D'Urfé,32
Beaconsfield,59
Côte-des-Neiges–Notre-Dame-de-Grâce,2163
Côte-Saint-Luc,513
Dollard-des-Ormeaux,414
Dorval,182
Hampstead,53
Kirkland,113
Lachine,619
LaSalle,1171
L'Île-Bizard–Sainte-Geneviève,210
Mercier–Hochelaga-Maisonneuve,2240
Montréal-Est,44
Montréal-Nord,2509
Montréal-Ouest,20
Mont-Royal,274
Outremont,265
Pierrefonds–Roxboro,532
Plateau-Mont-Royal,875
Pointe-Claire,221
Rivière-des-Prairies–Pointe-aux-Trembles,2130
Rosemont–La Petite Patrie,1537
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1054
Saint-Léonard,1089
Senneville,<5
Sud-Ouest,897
Verdun,936
Ville-Marie,768
Villeray–Saint-Michel–Parc-Extension,2100
Westmount,183
Territoire à confirmer,631
Total à Montréal,26815
