Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3177
Anjou,992
Baie-D'Urfé,36
Beaconsfield,102
Côte-des-Neiges–Notre-Dame-de-Grâce,3402
Côte-Saint-Luc,862
Dollard-des-Ormeaux,689
Dorval,305
Hampstead,117
Kirkland,195
Lachine,852
LaSalle,1642
L'Île-Bizard–Sainte-Geneviève,280
Mercier–Hochelaga-Maisonneuve,3232
Montréal-Est,61
Montréal-Nord,3418
Montréal-Ouest,41
Mont-Royal,450
Outremont,548
Pierrefonds–Roxboro,873
Plateau-Mont-Royal,1640
Pointe-Claire,279
Rivière-des-Prairies–Pointe-aux-Trembles,2886
Rosemont–La Petite Patrie,2429
Sainte-Anne-de-Bellevue,24
Saint-Laurent,1823
Saint-Léonard,1752
Senneville,<5
Sud-Ouest,1435
Verdun,1279
Ville-Marie,1741
Villeray–Saint-Michel–Parc-Extension,3319
Westmount,263
Territoire à confirmer,929
Total à Montréal,41076
