Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3309
Anjou,1040
Baie-D'Urfé,37
Beaconsfield,120
Côte-des-Neiges–Notre-Dame-de-Grâce,3717
Côte-Saint-Luc,982
Dollard-des-Ormeaux,753
Dorval,316
Hampstead,120
Kirkland,210
Lachine,924
LaSalle,1782
L'Île-Bizard–Sainte-Geneviève,285
Mercier–Hochelaga-Maisonneuve,3355
Montréal-Est,66
Montréal-Nord,3523
Montréal-Ouest,46
Mont-Royal,471
Outremont,567
Pierrefonds–Roxboro,961
Plateau-Mont-Royal,1687
Pointe-Claire,296
Rivière-des-Prairies–Pointe-aux-Trembles,3006
Rosemont–La Petite Patrie,2602
Sainte-Anne-de-Bellevue,24
Saint-Laurent,1980
Saint-Léonard,1863
Senneville,7
Sud-Ouest,1516
Verdun,1328
Ville-Marie,1842
Villeray–Saint-Michel–Parc-Extension,3566
Westmount,277
Territoire à confirmer,972
Total à Montréal,43550
