Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2584
Anjou,780
Baie-D'Urfé,31
Beaconsfield,70
Côte-des-Neiges–Notre-Dame-de-Grâce,2497
Côte-Saint-Luc,590
Dollard-des-Ormeaux,495
Dorval,207
Hampstead,72
Kirkland,142
Lachine,725
LaSalle,1345
L'Île-Bizard–Sainte-Geneviève,228
Mercier–Hochelaga-Maisonneuve,2602
Montréal-Est,49
Montréal-Nord,2763
Montréal-Ouest,34
Mont-Royal,302
Outremont,362
Pierrefonds–Roxboro,605
Plateau-Mont-Royal,1196
Pointe-Claire,247
Rivière-des-Prairies–Pointe-aux-Trembles,2349
Rosemont–La Petite Patrie,1876
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1252
Saint-Léonard,1297
Senneville,<5
Sud-Ouest,1115
Verdun,1068
Ville-Marie,1204
Villeray–Saint-Michel–Parc-Extension,2515
Westmount,211
Territoire à confirmer,693
Total à Montréal,31528
