Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8681
Anjou,2933
Baie-D'Urfé,67
Beaconsfield,370
Côte-des-Neiges–Notre-Dame-de-Grâce,9785
Côte-Saint-Luc,2296
Dollard-des-Ormeaux,2231
Dorval,670
Hampstead,326
Kirkland,548
Lachine,2516
LaSalle,4540
L'Île-Bizard–Sainte-Geneviève,869
Mercier–Hochelaga-Maisonneuve,7333
Montréal-Est,224
Montréal-Nord,7942
Montréal-Ouest,127
Mont-Royal,953
Outremont,1090
Pierrefonds–Roxboro,3327
Plateau-Mont-Royal,3786
Pointe-Claire,877
Rivière-des-Prairies–Pointe-aux-Trembles,7740
Rosemont–La Petite Patrie,6007
Sainte-Anne-de-Bellevue,118
Saint-Laurent,6423
Saint-Léonard,6590
Senneville,22
Sud-Ouest,3216
Verdun,2635
Ville-Marie,3979
Villeray–Saint-Michel–Parc-Extension,9151
Westmount,618
Territoire à confirmer,1703
Total à Montréal,109693
