Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9950
Anjou,3384
Baie-D'Urfé,88
Beaconsfield,444
Côte-des-Neiges–Notre-Dame-de-Grâce,11390
Côte-Saint-Luc,2679
Dollard-des-Ormeaux,2670
Dorval,780
Hampstead,378
Kirkland,699
Lachine,2865
LaSalle,5336
L'Île-Bizard–Sainte-Geneviève,1027
Mercier–Hochelaga-Maisonneuve,8400
Montréal-Est,264
Montréal-Nord,8673
Montréal-Ouest,167
Mont-Royal,1099
Outremont,1239
Pierrefonds–Roxboro,4027
Plateau-Mont-Royal,4450
Pointe-Claire,1031
Rivière-des-Prairies–Pointe-aux-Trembles,8658
Rosemont–La Petite Patrie,6803
Sainte-Anne-de-Bellevue,132
Saint-Laurent,7874
Saint-Léonard,7500
Senneville,22
Sud-Ouest,3657
Verdun,3032
Ville-Marie,4509
Villeray–Saint-Michel–Parc-Extension,10506
Westmount,695
Territoire à confirmer,1849
Total à Montréal,126277
