Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3403
Anjou,1070
Baie-D'Urfé,39
Beaconsfield,122
Côte-des-Neiges–Notre-Dame-de-Grâce,3805
Côte-Saint-Luc,1027
Dollard-des-Ormeaux,792
Dorval,321
Hampstead,124
Kirkland,221
Lachine,976
LaSalle,1886
L'Île-Bizard–Sainte-Geneviève,287
Mercier–Hochelaga-Maisonneuve,3447
Montréal-Est,70
Montréal-Nord,3610
Montréal-Ouest,49
Mont-Royal,484
Outremont,575
Pierrefonds–Roxboro,995
Plateau-Mont-Royal,1730
Pointe-Claire,304
Rivière-des-Prairies–Pointe-aux-Trembles,3094
Rosemont–La Petite Patrie,2705
Sainte-Anne-de-Bellevue,25
Saint-Laurent,2085
Saint-Léonard,1939
Senneville,8
Sud-Ouest,1562
Verdun,1358
Ville-Marie,1880
Villeray–Saint-Michel–Parc-Extension,3698
Westmount,283
Territoire à confirmer,995
Total à Montréal,44969
