Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2331
Anjou,697
Baie-D'Urfé,31
Beaconsfield,60
Côte-des-Neiges–Notre-Dame-de-Grâce,2179
Côte-Saint-Luc,517
Dollard-des-Ormeaux,417
Dorval,188
Hampstead,52
Kirkland,116
Lachine,626
LaSalle,1191
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2267
Montréal-Est,44
Montréal-Nord,2538
Montréal-Ouest,20
Mont-Royal,276
Outremont,269
Pierrefonds–Roxboro,534
Plateau-Mont-Royal,884
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2150
Rosemont–La Petite Patrie,1552
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1069
Saint-Léonard,1094
Senneville,<5
Sud-Ouest,905
Verdun,946
Ville-Marie,793
Villeray–Saint-Michel–Parc-Extension,2136
Westmount,184
Territoire à confirmer,630
Total à Montréal,27149
