Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,4868
Anjou,1551
Baie-D'Urfé,54
Beaconsfield,210
Côte-des-Neiges–Notre-Dame-de-Grâce,5559
Côte-Saint-Luc,1413
Dollard-des-Ormeaux,1187
Dorval,419
Hampstead,181
Kirkland,336
Lachine,1442
LaSalle,2743
L'Île-Bizard–Sainte-Geneviève,435
Mercier–Hochelaga-Maisonneuve,4436
Montréal-Est,112
Montréal-Nord,4877
Montréal-Ouest,70
Mont-Royal,637
Outremont,708
Pierrefonds–Roxboro,1759
Plateau-Mont-Royal,2282
Pointe-Claire,531
Rivière-des-Prairies–Pointe-aux-Trembles,4417
Rosemont–La Petite Patrie,3774
Sainte-Anne-de-Bellevue,72
Saint-Laurent,3302
Saint-Léonard,3245
Senneville,18
Sud-Ouest,2099
Verdun,1713
Ville-Marie,2391
Villeray–Saint-Michel–Parc-Extension,5229
Westmount,427
Territoire à confirmer,1224
Total à Montréal,63721
