Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2382
Anjou,709
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2229
Côte-Saint-Luc,521
Dollard-des-Ormeaux,424
Dorval,195
Hampstead,55
Kirkland,120
Lachine,644
LaSalle,1234
L'Île-Bizard–Sainte-Geneviève,212
Mercier–Hochelaga-Maisonneuve,2354
Montréal-Est,44
Montréal-Nord,2585
Montréal-Ouest,21
Mont-Royal,285
Outremont,272
Pierrefonds–Roxboro,552
Plateau-Mont-Royal,952
Pointe-Claire,223
Rivière-des-Prairies–Pointe-aux-Trembles,2187
Rosemont–La Petite Patrie,1642
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1096
Saint-Léonard,1132
Senneville,<5
Sud-Ouest,949
Verdun,976
Ville-Marie,926
Villeray–Saint-Michel–Parc-Extension,2218
Westmount,190
Territoire à confirmer,633
Total à Montréal,28075
