Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,7285
Anjou,2377
Baie-D'Urfé,67
Beaconsfield,315
Côte-des-Neiges–Notre-Dame-de-Grâce,8103
Côte-Saint-Luc,1879
Dollard-des-Ormeaux,1850
Dorval,576
Hampstead,283
Kirkland,476
Lachine,2114
LaSalle,3922
L'Île-Bizard–Sainte-Geneviève,782
Mercier–Hochelaga-Maisonneuve,6236
Montréal-Est,194
Montréal-Nord,6853
Montréal-Ouest,119
Mont-Royal,821
Outremont,946
Pierrefonds–Roxboro,2748
Plateau-Mont-Royal,3242
Pointe-Claire,764
Rivière-des-Prairies–Pointe-aux-Trembles,6422
Rosemont–La Petite Patrie,5240
Sainte-Anne-de-Bellevue,101
Saint-Laurent,4991
Saint-Léonard,5274
Senneville,21
Sud-Ouest,2885
Verdun,2261
Ville-Marie,3520
Villeray–Saint-Michel–Parc-Extension,7635
Westmount,557
Territoire à confirmer,1505
Total à Montréal,92364
