Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1842
Anjou,545
Baie-D'Urfé,16
Beaconsfield,50
Côte-des-Neiges–Notre-Dame-de-Grâce,1811
Côte-Saint-Luc,443
Dollard-des-Ormeaux,338
Dorval,164
Hampstead,53
Kirkland,93
Lachine,470
LaSalle,1002
L'Île-Bizard–Sainte-Geneviève,173
Mercier–Hochelaga-Maisonneuve,1844
Montréal-Est,32
Montréal-Nord,2052
Montréal-Ouest,17
Mont-Royal,234
Outremont,235
Pierrefonds–Roxboro,443
Plateau-Mont-Royal,776
Pointe-Claire,171
Rivière-des-Prairies–Pointe-aux-Trembles,1755
Rosemont–La Petite Patrie,1247
Sainte-Anne-de-Bellevue,18
Saint-Laurent,824
Saint-Léonard,893
Senneville,<5
Sud-Ouest,781
Verdun,835
Ville-Marie,633
Villeray–Saint-Michel–Parc-Extension,1569
Westmount,159
Territoire à confirmer,798
Total à Montréal,22317
