Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,6981
Anjou,2248
Baie-D'Urfé,65
Beaconsfield,297
Côte-des-Neiges–Notre-Dame-de-Grâce,7784
Côte-Saint-Luc,1853
Dollard-des-Ormeaux,1771
Dorval,556
Hampstead,274
Kirkland,462
Lachine,2040
LaSalle,3804
L'Île-Bizard–Sainte-Geneviève,746
Mercier–Hochelaga-Maisonneuve,6028
Montréal-Est,192
Montréal-Nord,6598
Montréal-Ouest,113
Mont-Royal,806
Outremont,925
Pierrefonds–Roxboro,2627
Plateau-Mont-Royal,3133
Pointe-Claire,748
Rivière-des-Prairies–Pointe-aux-Trembles,6173
Rosemont–La Petite Patrie,5081
Sainte-Anne-de-Bellevue,93
Saint-Laurent,4787
Saint-Léonard,5044
Senneville,20
Sud-Ouest,2787
Verdun,2184
Ville-Marie,3390
Villeray–Saint-Michel–Parc-Extension,7312
Westmount,530
Territoire à confirmer,1474
Total à Montréal,88926
