Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9382
Anjou,3205
Baie-D'Urfé,76
Beaconsfield,408
Côte-des-Neiges–Notre-Dame-de-Grâce,10719
Côte-Saint-Luc,2552
Dollard-des-Ormeaux,2430
Dorval,730
Hampstead,357
Kirkland,634
Lachine,2723
LaSalle,4899
L'Île-Bizard–Sainte-Geneviève,948
Mercier–Hochelaga-Maisonneuve,7926
Montréal-Est,247
Montréal-Nord,8359
Montréal-Ouest,160
Mont-Royal,1044
Outremont,1171
Pierrefonds–Roxboro,3668
Plateau-Mont-Royal,4070
Pointe-Claire,952
Rivière-des-Prairies–Pointe-aux-Trembles,8244
Rosemont–La Petite Patrie,6413
Sainte-Anne-de-Bellevue,125
Saint-Laurent,7135
Saint-Léonard,7084
Senneville,22
Sud-Ouest,3419
Verdun,2913
Ville-Marie,4237
Villeray–Saint-Michel–Parc-Extension,9865
Westmount,667
Territoire à confirmer,1784
Total à Montréal,118568
