Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1307
Anjou,347
Baie-D'Urfé,9
Beaconsfield,40
Côte-des-Neiges–Notre-Dame-de-Grâce,1375
Côte-Saint-Luc,375
Dollard-des-Ormeaux,252
Dorval,132
Hampstead,39
Kirkland,70
Lachine,333
LaSalle,829
L'Île-Bizard–Sainte-Geneviève,116
Mercier–Hochelaga-Maisonneuve,1150
Montréal-Est,22
Montréal-Nord,1423
Montréal-Ouest,14
Mont-Royal,186
Outremont,209
Pierrefonds–Roxboro,287
Plateau-Mont-Royal,609
Pointe-Claire,126
Rivière-des-Prairies–Pointe-aux-Trembles,1130
Rosemont–La Petite Patrie,885
Sainte-Anne-de-Bellevue,13
Saint-Laurent,586
Saint-Léonard,616
Senneville,<5
Sud-Ouest,649
Verdun,678
Ville-Marie,399
Villeray–Saint-Michel–Parc-Extension,1139
Westmount,128
Territoire à confirmer,777
Total à Montréal,16251
