Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2735
Anjou,837
Baie-D'Urfé,32
Beaconsfield,73
Côte-des-Neiges–Notre-Dame-de-Grâce,2671
Côte-Saint-Luc,640
Dollard-des-Ormeaux,529
Dorval,218
Hampstead,79
Kirkland,150
Lachine,748
LaSalle,1397
L'Île-Bizard–Sainte-Geneviève,239
Mercier–Hochelaga-Maisonneuve,2743
Montréal-Est,52
Montréal-Nord,2929
Montréal-Ouest,36
Mont-Royal,312
Outremont,444
Pierrefonds–Roxboro,653
Plateau-Mont-Royal,1358
Pointe-Claire,251
Rivière-des-Prairies–Pointe-aux-Trembles,2474
Rosemont–La Petite Patrie,2000
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1363
Saint-Léonard,1420
Senneville,<5
Sud-Ouest,1194
Verdun,1104
Ville-Marie,1347
Villeray–Saint-Michel–Parc-Extension,2698
Westmount,230
Territoire à confirmer,758
Total à Montréal,33736
