Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2316
Anjou,695
Baie-D'Urfé,32
Beaconsfield,59
Côte-des-Neiges–Notre-Dame-de-Grâce,2177
Côte-Saint-Luc,516
Dollard-des-Ormeaux,416
Dorval,186
Hampstead,52
Kirkland,116
Lachine,626
LaSalle,1188
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2263
Montréal-Est,44
Montréal-Nord,2524
Montréal-Ouest,20
Mont-Royal,276
Outremont,266
Pierrefonds–Roxboro,534
Plateau-Mont-Royal,881
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2149
Rosemont–La Petite Patrie,1548
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1065
Saint-Léonard,1092
Senneville,<5
Sud-Ouest,905
Verdun,946
Ville-Marie,784
Villeray–Saint-Michel–Parc-Extension,2131
Westmount,184
Territoire à confirmer,630
Total à Montréal,27074
