Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1064
Anjou,288
Baie-D'Urfé,6
Beaconsfield,25
Côte-des-Neiges–Notre-Dame-de-Grâce,1137
Côte-Saint-Luc,346
Dollard-des-Ormeaux,136
Dorval,78
Hampstead,38
Kirkland,27
Lachine,157
LaSalle,497
L'Île-Bizard–Sainte-Geneviève,57
Mercier–Hochelaga-Maisonneuve,852
Montréal-Est,16
Montréal-Nord,1153
Montréal-Ouest,10
Mont-Royal,104
Outremont,188
Pierrefonds–Roxboro,156
Plateau-Mont-Royal,508
Pointe-Claire,67
Rivière-des-Prairies–Pointe-aux-Trembles,908
Rosemont–La Petite Patrie,652
Sainte-Anne-de-Bellevue,9
Saint-Laurent,452
Saint-Léonard,531
Senneville,<5
Sud-Ouest,525
Verdun,561
Ville-Marie,326
Villeray–Saint-Michel–Parc-Extension,909
Westmount,101
Territoire à confirmer,601
Total à Montréal,12486
