Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10375
Anjou,3497
Baie-D'Urfé,95
Beaconsfield,473
Côte-des-Neiges–Notre-Dame-de-Grâce,11805
Côte-Saint-Luc,2806
Dollard-des-Ormeaux,2792
Dorval,800
Hampstead,386
Kirkland,761
Lachine,2937
LaSalle,5620
L'Île-Bizard–Sainte-Geneviève,1062
Mercier–Hochelaga-Maisonneuve,8665
Montréal-Est,270
Montréal-Nord,8991
Montréal-Ouest,185
Mont-Royal,1112
Outremont,1261
Pierrefonds–Roxboro,4196
Plateau-Mont-Royal,4674
Pointe-Claire,1068
Rivière-des-Prairies–Pointe-aux-Trembles,8890
Rosemont–La Petite Patrie,7007
Sainte-Anne-de-Bellevue,138
Saint-Laurent,8274
Saint-Léonard,7712
Senneville,23
Sud-Ouest,3901
Verdun,3129
Ville-Marie,4820
Villeray–Saint-Michel–Parc-Extension,11045
Westmount,730
Territoire à confirmer,1907
Total à Montréal,131407
