Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10129
Anjou,3428
Baie-D'Urfé,91
Beaconsfield,451
Côte-des-Neiges–Notre-Dame-de-Grâce,11529
Côte-Saint-Luc,2719
Dollard-des-Ormeaux,2719
Dorval,787
Hampstead,379
Kirkland,720
Lachine,2896
LaSalle,5434
L'Île-Bizard–Sainte-Geneviève,1043
Mercier–Hochelaga-Maisonneuve,8489
Montréal-Est,268
Montréal-Nord,8816
Montréal-Ouest,171
Mont-Royal,1107
Outremont,1248
Pierrefonds–Roxboro,4084
Plateau-Mont-Royal,4535
Pointe-Claire,1056
Rivière-des-Prairies–Pointe-aux-Trembles,8748
Rosemont–La Petite Patrie,6872
Sainte-Anne-de-Bellevue,135
Saint-Laurent,8027
Saint-Léonard,7575
Senneville,23
Sud-Ouest,3755
Verdun,3067
Ville-Marie,4613
Villeray–Saint-Michel–Parc-Extension,10694
Westmount,713
Territoire à confirmer,1867
Total à Montréal,128188
