Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2486
Anjou,734
Baie-D'Urfé,31
Beaconsfield,63
Côte-des-Neiges–Notre-Dame-de-Grâce,2370
Côte-Saint-Luc,544
Dollard-des-Ormeaux,450
Dorval,204
Hampstead,59
Kirkland,135
Lachine,701
LaSalle,1302
L'Île-Bizard–Sainte-Geneviève,224
Mercier–Hochelaga-Maisonneuve,2489
Montréal-Est,48
Montréal-Nord,2652
Montréal-Ouest,30
Mont-Royal,291
Outremont,280
Pierrefonds–Roxboro,585
Plateau-Mont-Royal,1079
Pointe-Claire,244
Rivière-des-Prairies–Pointe-aux-Trembles,2247
Rosemont–La Petite Patrie,1767
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1162
Saint-Léonard,1195
Senneville,<5
Sud-Ouest,1056
Verdun,1040
Ville-Marie,1062
Villeray–Saint-Michel–Parc-Extension,2361
Westmount,197
Territoire à confirmer,647
Total à Montréal,29755
