Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3277
Anjou,1028
Baie-D'Urfé,37
Beaconsfield,110
Côte-des-Neiges–Notre-Dame-de-Grâce,3648
Côte-Saint-Luc,953
Dollard-des-Ormeaux,736
Dorval,313
Hampstead,117
Kirkland,205
Lachine,895
LaSalle,1735
L'Île-Bizard–Sainte-Geneviève,284
Mercier–Hochelaga-Maisonneuve,3321
Montréal-Est,66
Montréal-Nord,3497
Montréal-Ouest,44
Mont-Royal,468
Outremont,562
Pierrefonds–Roxboro,937
Plateau-Mont-Royal,1672
Pointe-Claire,293
Rivière-des-Prairies–Pointe-aux-Trembles,2966
Rosemont–La Petite Patrie,2558
Sainte-Anne-de-Bellevue,24
Saint-Laurent,1934
Saint-Léonard,1833
Senneville,7
Sud-Ouest,1494
Verdun,1312
Ville-Marie,1824
Villeray–Saint-Michel–Parc-Extension,3505
Westmount,272
Territoire à confirmer,948
Total à Montréal,42875
