Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2146
Anjou,632
Baie-D'Urfé,28
Beaconsfield,57
Côte-des-Neiges–Notre-Dame-de-Grâce,2030
Côte-Saint-Luc,489
Dollard-des-Ormeaux,395
Dorval,176
Hampstead,53
Kirkland,103
Lachine,554
LaSalle,1086
L'Île-Bizard–Sainte-Geneviève,188
Mercier–Hochelaga-Maisonneuve,2129
Montréal-Est,38
Montréal-Nord,2354
Montréal-Ouest,18
Mont-Royal,250
Outremont,248
Pierrefonds–Roxboro,503
Plateau-Mont-Royal,839
Pointe-Claire,209
Rivière-des-Prairies–Pointe-aux-Trembles,2011
Rosemont–La Petite Patrie,1453
Sainte-Anne-de-Bellevue,17
Saint-Laurent,989
Saint-Léonard,1039
Senneville,<5
Sud-Ouest,853
Verdun,897
Ville-Marie,726
Villeray–Saint-Michel–Parc-Extension,1891
Westmount,171
Territoire à confirmer,864
Total à Montréal,25437
